SiteID,Latitude,Longitude,HUC8,Waterbody_name
accs_AKBB-011,60.6895,-154.86369,19030302,Victoria Creek
accs_AKBB-020,60.49564,-154.38715,19030302,Little Mulchatna River
accs_AKBB-028,60.26358,-155.14171,19030205,Unnamed Tributary to Koksetna River
accs_AKBB-029,59.69252,-155.74731,19030206,Kaskanak Creek
accs_AKBB-040,60.44236,-155.20805,19030302,Chilchitna River
accs_ilbig01,59.975,-154.846,19030205,Big Creek
accs_iltaz02,59.93596,-154.81134,19030205,Tazimina River
accs_iltnr19,59.90227,-154.89095,19030205,Tributary to Newhalen River
accs_mubon10,60.69262,-154.86514,19030302,Bonanza Creek
accs_muekm23,59.8254299999999,-155.3571,19030302,Tributary to Koktuli River 4
accs_musfk01,59.82923,-155.77438,19030302,South Fork Koktuli River
accs_mussm15,59.79815,-155.51123,19030302,Tributary to Koktuli River 3
accs_mustu17,59.70342,-156.30147,19030302,Stuyahok River
accs_mutsk02,59.817,-155.764919999999,19030302,Tributary to Koktuli River 2
accs_mutsk09,59.81045,-155.61197,19030302,Tributary to Koktuli River 1
cik_Ben Courtney Creek,59.272417,-156.357567,19030206,Ben Courtney Creek
cik_Big Creek,59.975,-154.846,19030205,Big Creek
cik_Copper River,59.50208,-154.46576,19030206,Copper River
cik_Gibraltar River,59.42944,-154.83261,19030206,Gibraltar Creek
cik_Napotoli Creek,59.75672,-157.41901,19030301,Napotoli Creek
cik_Neilson Creek,59.1522,-158.63428,19030304,Neilson Creek
cik_Panaruqak Creek,59.45447,-157.31436,19030303,Panaruqak Creek
cik_Roadhouse Creek,59.7573,-154.8499,19030206,Roadhouse Creek
cik_Silver Salmon Creek,59.22543,-158.67343,19030304,Silver Salmon Creek
cik_Sivanguq Creek,59.72696,-157.33818,19030301,Sivanguq Creek
cik_Squaw Creek,59.043,-158.54695,19030303,Squaw Creek
cik_Tunravik Creek,59.47933,-157.25899,19030303,Tunravik Creek
cik_Yellow Creek,59.1947,-156.703333,19030206,Yellow Creek
fws_580223156504200,58.03972,-156.84583,19030203,Egegik River
fws_GELO,59.36705,-160.34961,19030305,Gechiak River
fws_KULR,59.038453,-159.775178,19030305,Kulukak River
fws_NCLO,59.273435,-160.003203,19030305,Nichols Creek
fws_Newhalen River,59.91904,-154.8859,19030205,Newhalen River
fws_OSLR2,58.878497,-161.193039,19030305,Osviak River
fws_PULO,59.292777,-159.923683,19030305,Pungokepuk Creek
fws_PULR,59.259683,-160.190949,19030305,Pungokepuk Creek
fws_SLLR,58.647972,-161.733603,19030305,Slug River
fws_TOLO,59.52945,-159.712756,19030305,Togiak River
fws_TOLR,59.26595,-159.146166666667,19030306,Weary River
fws_WELR2,59.224131,-159.125008,19030306,Weary River
NPS_Chulitna_SiteB,60.18552667,-154.8296432,19030205,Chulitna River
nps_KATM_idavc_stream_water,58.66621,-155.67084,19030204,Idavain Creek
nps_KATM_lbrooo,58.5478,-155.795322,19030204,Lake Brooks
nps_KATM_margc_stream_water,58.4859344835,-155.577723084,19030204,Margot Creek
nps_KATM_naknlo,58.68184,-156.43503,19030204,Naknek Lake
nps_KATM_savor_stream_water,58.5295,-155.30368000000001,19030204,Savonoski River
nps_KATM_upatc_stream_water,58.5113383745,-155.803890375,19030204,Up-A-Tree Creek
nps_LACL_kijilo,60.30716,-154.2906,19030205,Kijik Lake
nps_LACL_tazir_stream_water,59.934737,-154.835196,19030205,Tazimina River
nps_LACL_tlikr_stream_water,60.49937,-153.68665,19030205,Tlikikila River
NPS_Newhalen_River,59.919518,-154.885521,19030205,Newhalen River
usgs_15298040,60.2036591,-154.7044349,19030205,CHULITNA R 5MI AB MOUTH NR PORT ALSWORTH AK
usgs_15300100,59.8237617,-154.8844049,19030205,BEAR C NR ILIAMNA AK
usgs_15300250,59.7859761,-155.2552406,19030206,UPPER TALARIK C NR ILIAMNA AK
usgs_15300270,59.84155048,-154.3796745,19030206,CHEKOK C NR PEDRO BAY AK
usgs_15300300,59.7579499,-153.8468866,19030206,ILIAMNA R NR PEDRO BAY AK
usgs_15300320,59.70379507,-153.712188,19030206,CHINKELYES C BL SUMMIT LK NR PEDRO BAY AK
usgs_15301500,60.1539944,-158.7366923,19030301,ALLEN R NR ALEKNAGIK AK
usgs_15302000,59.93483,-158.1900062,19030301,NUYAKUK R NR DILLINGHAM AK
usgs_15302200,59.7926376,-155.5246895,19030302,KOKTULI R NR ILIAMNA AK
usgs_15302250,59.8424682,-155.7185564,19030302,NF KOKTULI R NR ILIAMNA AK
usgs_15302300,59.8376227,-156.6938693,19030302,MULCHATNA R AB STUYAHOK R NR NEW STUYAHOK AK
usgs_15302320,59.80901149,-156.6669229,19030302,STUYAHOK R NR NEW STUYAHOK AK
usgs_15302812,59.415,-157.8041667,19030303,KOKWOK R 22 MI AB NUSHAGAK R NR EKWOK AK
UW_Agulowak River,59.40911,-158.909784,19030304,Agulowak River
UW_Agulukpak River,59.576285,-158.532078,19030304,Agulupak River
UW_Aleknagik Bear Creek,59.295787,-158.778379,19030304,NA
UW_Aleknagik Big Whitefish Creek,59.265797,-158.681275,19030304,Whitefish
UW_Aleknagik Eagle Creek,59.3171212,-158.694184,19030304,Eagle
UW_Aleknagik Hansen Creek,59.321524,-158.701816,19030304,Hansen
UW_Aleknagik Happy Creek,59.323232,-158.717744,19030304,NA
UW_Aleknagik Ice Creek,59.33165,-158.814027,19030304,Ice
UW_Aleknagik Mission Creek,59.274915,-158.599688,19030304,Mission
UW_Aleknagik Pfifer Creek,59.20665,-158.667514,19030304,Pfifer
UW_Aleknagik Silver Salmon Creek,59.22548,-158.673937,19030304,Silver Salmon
UW_Aleknagik Squaw Creek,59.04937,-158.568496,19030303,Squaw
UW_Aleknagik Sunshine Creek,59.458923,-159.048356,19030304,Sunshine
UW_Aleknagik Yako Creek,59.274879,-158.708334,19030304,Yako
UW_Aleknagik Youth Creek,59.43361,-159.012787,19030304,Youth
UW_Beverley Hope Creek,59.646153,-158.600091,19030304,Hope
UW_Beverley Moose Creek,59.63907,-158.584173,19030304,Moose
UW_Beverley Silverhorn Creek,59.667847,-158.946429,19030304,Silverhorn
UW_Beverley Uno Creek,59.6909,-158.75479,19030304,Uno
UW_Kulik Grant River,59.786838,-158.714485,19030304,Grant
UW_Kulik K-3 Creek,59.79739,-158.946055,19030304,K3
UW_Kulik Kulik Creek,59.779325,-159.001315,19030304,Kulik Creek
UW_Little Togiak C Creek,59.582279,-159.153905,19030304,C
UW_Little Togiak Creek,59.620165,-159.217037,19030304,Little Togiak Creek
UW_Nerka Allah Creek,59.42976,-158.65941,19030304,Allah
UW_Nerka Bear Creek,59.470019,-158.665864,19030304,Bear (Nerka) Creek
UW_Nerka Beaver Creek,59.55437,-158.58325,19030304,Beaver
UW_Nerka Berm Creek,59.598938,-158.81484,19030304,NA
UW_Nerka Bug Creek,59.46354,-158.88681,19030304,Bug
UW_Nerka Cabin Creek,59.595289,-158.847155,19030304,NA
UW_Nerka Chamee Creek,59.543319,-158.751488,19030304,Chamee Creek
UW_Nerka Cottonwood Creek,59.625638,-159.079365,19030304,Cottonwood Creek
UW_Nerka Elva Creek,59.581381,-159.055091,19030304,Elva
UW_Nerka Fenno Creek,59.421831,-158.81088,19030304,Fenno
UW_Nerka Hidden Lake Creek,59.53995,-158.767329,19030304,Hidden
UW_Nerka Joe Creek,59.59677,-158.87573,19030304,Joe
UW_Nerka Kema Creek,59.545584,-158.656191,19030304,Kema
UW_Nerka Little Togiak River,59.559676,-159.08039,19030304,LTR
UW_Nerka Lynx Creek,59.485329,-158.920334,19030304,Lynx
UW_Nerka Lynx Creek Cold Tributary,59.493917,-158.897689,19030304,Lynx Creek - cold trib
UW_Nerka Lynx Lake Tributary,59.494025,-158.895996,19030304,LynxLakeTrib
UW_Nerka N4 Creek,59.474494,-158.944723,19030304,N4 Creek
UW_Nerka Pick Creek,59.550053,-159.064001,19030304,Pick
UW_Nerka Rainbow Creek,59.664336,-159.156064,19030304,Rainbow Creek
UW_Nerka Sam Creek,59.58922,-158.89537,19030304,Sam
UW_Nerka Seventh Creek,59.579615,-158.914344,19030304,7th
UW_Nerka Sixth Creek,59.576886,-158.923206,19030304,6th
UW_Nerka Stovall Creek,59.458751,-158.635026,19030304,Stovall
UW_Nerka Teal Creek,59.480963,-158.729867,19030304,NA
