Site,Year,Length_n
Amou Creek,2013,44
Amou Creek,2014,3
Bear Creek,2007,1281
Bear Creek,2008,2242
Bear Creek,2009,1829
Bear Creek,2010,1364
Bear Creek,2011,283
Bear Creek,2014,198
Bear Creek,2018,296
Bear Creek,2019,311
Bear Creek,2021,97
Bear Creek,2022,10
Big Whitefish Creek,2007,1371
Big Whitefish Creek,2008,1226
Big Whitefish Creek,2009,253
Big Whitefish Creek,2010,335
Big Whitefish Creek,2011,98
Big Whitefish Creek,2013,93
Big Whitefish Creek,2014,86
Big Whitefish Creek,2018,422
Big Whitefish Creek,2019,297
Big Whitefish Creek,2021,181
Big Whitefish Creek,2022,16
Fenno Creek,2010,6
Fenno Creek,2011,1
Hidden Lake Creek,2007,2
Hidden Lake Creek,2008,8
Hidden Lake Creek,2009,17
Hidden Lake Creek,2010,6
Hidden Lake Creek,2011,2
Hidden Lake Creek,2012,5
Hidden Lake Creek,2013,5
Hidden Lake Creek,2014,2
Hidden Lake Creek,2015,10
Hidden Lake Creek,2016,209
Hidden Lake Creek,2017,67
Hidden Lake Creek,2018,4
Hidden Lake Creek,2019,2
Hidden Lake Creek,2020,42
Ice Creek,2008,195
Lynx Creek,2007,37
Lynx Creek,2008,231
Lynx Creek,2009,168
Lynx Creek,2010,68
Lynx Creek,2011,44
Lynx Creek,2012,197
Lynx Creek,2013,186
Lynx Creek,2014,345
Lynx Creek,2015,179
Lynx Creek,2016,124
Lynx Creek,2017,208
Lynx Creek,2018,30
Lynx Creek,2019,71
Lynx Creek,2020,3
Lynx Creek,2021,79
Lynx Creek,2022,54
Pfifer Creek,2009,387
Pfifer Creek,2010,88
Pfifer Creek,2011,75
Pfifer Creek,2021,89
Silver Salmon Creek,2008,176
Silver Salmon Creek,2009,212
Silver Salmon Creek,2010,163
Silver Salmon Creek,2011,39
Silver Salmon Creek,2013,63
Silver Salmon Creek,2014,102
Silver Salmon Creek,2021,28
Silver Salmon Creek,2022,14
Stovall Creek,2010,4
Stovall Creek,2011,10
Stovall Creek,2012,7
Stovall Creek,2013,2
Stovall Creek,2014,2
Stovall Creek,2016,18
Stovall Creek,2017,4
Teal Creek,2010,2
Teal Creek,2011,7
Teal Creek,2012,21
Teal Creek,2013,1
Teal Creek,2014,111
Teal Creek,2015,2
Teal Creek,2016,34
Teal Creek,2017,30
Yako Creek,2007,966
Yako Creek,2008,262
Yako Creek,2009,221
Yako Creek,2010,267
Yako Creek,2011,45
Yako Creek,2014,78
Yako Creek,2018,339
Yako Creek,2021,162
Yako Creek,2022,18
